num;question;a;b;c;d;solution;area_code;area;theme;image;Tags
SN-9;Wie nennt man den Regierungschef / die Regierungschefin in Sachsen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\xfcrgermeister / B\xfcrgermeisterin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;land;Bundesland;Sachsen;-;
SN-10;Welchen Minister / welche Ministerin hat Sachsen nicht?;Justizminister / Justizministerin;Au\xdfenminister / Au\xdfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Sachsen;-;
ST-1;Welches Wappen geh\xf6rt zum Bundesland Sachsen-Anhalt?;1;2;3;4;d;land;Bundesland;Sachsen-Anhalt;frage_st_1;image
ST-2;Welches ist ein Landkreis in Sachsen-Anhalt?;Ammerland;Alt\xf6tting;Uckermark;B\xf6rde;d;land;Bundesland;Sachsen-Anhalt;-;
ST-3;F\xfcr wie viele Jahre wird der Landtag in Sachsen-Anhalt gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Sachsen-Anhalt;-;
ST-4;Ab welchem Alter darf man in Sachsen-Anhalt bei Kommunalwahlen w\xe4hlen?;14;16;18;20;b;land;Bundesland;Sachsen-Anhalt;-;
ST-5;Welche Farben hat die Landesflagge von Sachsen-Anhalt?;blau-wei\xdf-rot;gelb-schwarz;gr\xfcn-wei\xdf-rot;wei\xdf-rot;b;land;Bundesland;Sachsen-Anhalt;-;
ST-6;Wo k\xf6nnen Sie sich in Sachsen-Anhalt \xfcber politische Themen informieren?;bei den Kirchen;bei der Landeszentrale f\xfcr politische Bildung;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;b;land;Bundesland;Sachsen-Anhalt;-;
ST-7;Die Landeshauptstadt von Sachsen-Anhalt hei\xdft ...;Halle.;Dessau.;Magdeburg.;Wittenberg.;c;land;Bundesland;Sachsen-Anhalt;-;
ST-8;Welches Bundesland ist Sachsen-Anhalt?;1;2;3;4;c;land;Bundesland;Sachsen-Anhalt;frage_st_8;image
ST-9;Wie nennt man den Regierungschef / die Regierungschefin in Sachsen-Anhalt?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\xfcrgermeister / B\xfcrgermeisterin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;land;Bundesland;Sachsen-Anhalt;-;
ST-10;Welchen Minister / welche Ministerin hat Sachsen-Anhalt nicht?;Justizminister / Justizministerin;Au\xdfenminister / Au\xdfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Sachsen-Anhalt;-;
TH-1;Welches Wappen geh\xf6rt zum Freistaat Th\xfcringen?;1;2;3;4;d;land;Bundesland;Thüringen;frage_th_1;image
TH-2;Welches ist ein Landkreis in Th\xfcringen?;Ammerland;Alt\xf6tting;Nordfriesland;Wartburgkreis;d;land;Bundesland;Thüringen;-;
TH-3;F\xfcr wie viele Jahre wird der Landtag in Th\xfcringen gew\xe4hlt?;3;4;5;6;c;land;Bundesland;Thüringen;-;
TH-4;Ab welchem Alter darf man in Th\xfcringen bei Kommunalwahlen w\xe4hlen?;14;18;16;20;c;land;Bundesland;Thüringen;-;
TH-5;Welche Farben hat die Landesflagge von Th\xfcringen?;blau-wei\xdf-rot;wei\xdf-rot;gr\xfcn-wei\xdf-rot;schwarz-gold;b;land;Bundesland;Thüringen;-;
TH-6;Wo k\xf6nnen Sie sich in Th\xfcringen \xfcber politische Themen informieren?;bei den Kirchen;bei der Verbraucherzentrale;bei der Landeszentrale f\xfcr politische Bildung;beim Ordnungsamt der Gemeinde;c;land;Bundesland;Thüringen;-;
TH-7;Die Landeshauptstadt von Th\xfcringen hei\xdft ...;Eisenach.;Erfurt.;Gera.;Jena.;b;land;Bundesland;Thüringen;-;
TH-8;Welches Bundesland ist Th\xfcringen?;1;2;3;4;b;land;Bundesland;Thüringen;frage_th_8;image
TH-9;Wie nennt man den Regierungschef / die Regierungschefin in Th\xfcringen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\xfcrgermeister / B\xfcrgermeisterin;Ministerpr\xe4sident / Ministerpr\xe4sidentin;d;land;Bundesland;Thüringen;-;
TH-10;Welchen Minister / welche Ministerin hat Th\xfcringen nicht?;Justizminister / Justizministerin;Au\xdfenminister / Au\xdfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Thüringen;-;
